棒	(๑•̀ㅂ•́)و✧
爆笑	ヾ(≧▽≦*)o
爆笑	o(*≧▽≦)ツ
bingo	(o゜▽゜)o☆[BINGO!]
得瑟	～(￣▽￣～)(～￣▽￣)～
得意	<(￣︶￣)>
嗯哪	嗯~o(*￣▽￣*)o
飞	︿(￣︶￣)︿
嘎嘎	．<{=．．．．（嘎~嘎~嘎~）
干杯	(￣▽￣)～■干杯□～(￣▽￣)
高兴	φ(゜▽゜*)♪
跟你说	╰(￣▽￣)╭
go	<(￣︶￣)↗[GO!]
good	o(￣▽￣)ｄ
哈哈哈哈	*´∀`)´∀`)*´∀`)*´∀`)
嗨	(｡･∀･)ﾉﾞ
嗨	ヾ(≧∇≦*)ゝ
好滴	(u‿ฺu✿ฺ)
好滴	（゜▽＾*））
好开心	(*^▽^*)
好耶	ヽ(✿ﾟ▽ﾟ)ノ
happy	(´▽`ʃ♡ƪ)
hi	Hi~o(*￣▽￣*)ブ
hiahia	○(＾皿＾)っHiahiahia…
high	((へ(へ´∀`)へ
吼吼	^O^
欢迎	(＾∀＾）／欢迎＼(＾∀＾）
获胜	ヾ(￣ー￣)X(^▽^)ゞ
惊喜	╰(*°▽°*)╯
惊喜	⊙▽⊙
击掌	(￣ー￣)人(^▽^)
啦啦	♪(^∇^*)
啦啦啦	..φ(0￣*)啦啦啦_φ(*￣0￣)′
乐	(๑´ㅂ`๑)
乐	φ(≧ω≦*)♪
乐呵	(≧∀≦)ゞ
满足	(๑¯∀¯๑)
满足	o(*￣︶￣*)o
咩哈哈	<(*￣▽￣*)/
噢耶	ε(*´･∀･｀)зﾞ
哦哦	（≧0≦）//（-_-。）・・・
噢耶	(ﾟ∀ﾟ)ﾉ♡
噢耶	(^&^)/
拍手	””\(￣ー￣)(￣ー￣)//””
拍桌	o(*≧▽≦)ツ┏━┓
飘	(～￣▽￣)～
噗	(/≧▽≦)/
期待	(☆▽☆)
散花	*★,°*:.☆(￣▽￣)/$:*.°★*。
闪	✧(≖◡≖✿)
太棒了	ㄟ(≧◇≦)ㄏ
逃	ヽ(ﾟ∀ﾟ*)ﾉ━━━ｩ♪
陶醉	(*︾▽︾)
谢谢	☆⌒(*＾-゜)vTHX!!
天啊	♪(´∇`*)
我回来啦	||ヽ(*￣▽￣*)ノミ|Ю
我来了	~(～￣▽￣)～
兴奋	(p≧w≦q)
幸福	o(*￣▽￣*)o
耶	(＾－＾)V
哟	(＾Ｕ＾)ノ~ＹＯ
有了	(o゜▽゜)o☆
赞	(((o(*ﾟ▽ﾟ*)o)))
涨	(￣︶￣)↗
振奋	(o>ε(o>ｕ(≧∩≦)
真好	o(^▽^)o
	
嗷	(>▽<)
嗷	ヾ(≧O≦)〃
嗷	┗|｀O′|┛
笨	(～￣(OO)￣)ブ
笨	(っ*´Д`)っ
笨	ヾ(´∀`o)+
表	<(￣3￣)>表！
不要啊	不＞(￣ε￣=￣3￣)<要
蹭	(*￣▽￣)((≧︶≦*)
等等我	...(*￣０￣)ノ
嘟嘴	o(￣ε￣*)
嘟嘴	（○｀3′○）
乖	o(*^＠^*)o
鬼脸	(￣┰￣*)
好可爱	（*＾-＾*）
好喜欢	(≧∇≦)ﾉ
坏人	～(TロT)σ
呼唤	(/0￣)o
可爱	n(*≧▽≦*)n
来啦	(～o￣▽￣)～
卖萌	=￣ω￣=
满意	（´v｀）
媚眼	ο(=•ω＜=)ρ⌒☆
捏脸	<(‵□′)─C＜─_-)||
你好	ヾ(´･ω･｀)ﾉ
你回来啦	ヾ(^▽^*)))
